WT_MOI,var_MOI,Spread,Neg,His,HA,Both
0.2,0,0,58.5,41.4,0.056,0
0.2,0,0,71.2,28.7,0.098,0.027
0.2,0,0,66.5,33.4,0.095,0.021
0.6,0,0,35.6,64.3,0.075,0.019
0.6,0,0,42.9,57,0.1,0.03
0.6,0,0,39.2,60.8,0.073,0.012
1.2,0,0,26.8,73.2,0.055,0.022
1.2,0,0,33.3,66.6,0.076,0.033
1.2,0,0,33,66.9,0.022,0.034
2,0,0,21.4,78.5,0.031,0.051
2,0,0,24,75.9,0.061,0.051
2,0,0,21.8,78.1,0.042,0.053
0.2,0.3,0,40.7,9.37,11.4,38.5
0.2,0.3,0,46.4,7.57,10.8,35.2
0.2,0.3,0,44.5,7.39,11.3,36.8
0.6,0.3,0,35.2,23.5,3.74,37.5
0.6,0.3,0,41.6,22,3.19,33.2
0.6,0.3,0,37.5,22.3,3.38,36.8
1.2,0.3,0,30.3,35.6,1.31,32.8
1.2,0.3,0,34.5,33.1,1.26,31.1
1.2,0.3,0,34,34.4,1.14,30.4
2,0.3,0,24.2,47.3,0.62,27.8
2,0.3,0,24.9,47.5,0.55,27.1
2,0.3,0,24.2,47.7,0.56,27.6
0.002,0,0,99.4,0.4,0.16,0.015
0.002,0,0,99.4,0.44,0.18,9.68E-03
0.002,0,0,99.4,0.49,0.14,4.76E-03
0.002,0,1,75.8,24.2,5.66E-03,0
0.002,0,1,72.8,27.2,5.64E-03,5.64E-03
0.002,0,1,74.3,25.6,5.58E-03,0
0.002,0.3,1,20,8.41,31.2,40.3
0.002,0.3,1,22.9,7.68,37.5,31.8
0.002,0.3,1,18.5,6.47,36.9,38.1
0.01,0,0,98.5,1.34,0.18,0.014
0.01,0,0,98.8,1.06,0.14,4.54E-03
0.01,0,0,98.5,1.37,0.093,0
0.01,0,1,15.6,84.4,0,0
0.01,0,1,13.4,86.6,0,0.018
0.01,0,1,12.6,87.4,0,0.013
0.01,0.3,1,8.78,38.9,4.42,47.9
0.01,0.3,1,10.6,28,5.69,55.8
0.01,0.3,1,6.89,37.1,3.73,52.3
0,0.3,0,66.9,0.24,32.8,0.058
0,0.3,0,66,0.31,33.6,0.1
0,0.3,0,64,0.39,35.5,0.091
