"","Rep","MOI","Productive","Productive.Co.Infected","Expressing.HA","Virion.Number","Parent.A.Percent","Parent.B.Percent","Reassortant.Percent","Reassortant.HN.Percent","Parent.A.Number","Parent.B.Number","Reassortant.Number","Reassortant.HN.Number","Six","HA.Neg","NS.Neg"
"37",11,0.1,1.887,0.396,3.697,188.7,41.1609906702272,38.1579169606244,20.6810923691484,9.95922392981216,7767.07893947188,7200.39893046982,3902.5221300583,1879.30555555556,1,0,0
"38",12,0.1,0.447,0.173,1.257,44.7,30.7773272433507,31.1573829531122,38.0652898035371,18.0089485458613,1375.74652777778,1392.73501800412,1701.51845421811,805,1,0,0
"39",13,0.1,0.781,0.244,2.258,78.1,33.3532224138885,36.0387278661682,30.6080497199433,15.6103286384977,2604.88667052469,2814.62464634774,2390.48868312757,1219.16666666667,1,0,0
"40",1,0.2,2.029,0.894,3.258,202.9,29.3729701584399,27.441240361118,43.1857894804421,21.115738459011,5959.77564514746,5567.82766927083,8762.3966855817,4284.38333333333,1,0,0
"41",2,0.2,1.544,0.785,3.368,154.4,24.4149504828528,25.6837582491098,49.9012912680374,24.4314910765688,3769.66835455247,3965.57227366255,7704.75937178498,3772.22222222222,1,0,0
"42",3,0.2,1.074,0.574,2.507,107.4,23.3563461752151,24.1774061525316,52.4662476722533,25.5829712393958,2508.47157921811,2596.65342078189,5634.875,2747.61111111111,1,0,0
"43",4,0.2,2.883,1.223,6.45,288.3,28.8290203659454,29.4688989432905,41.7020806907641,20.0553050448992,8311.40657150206,8495.88356535065,12022.7098631473,5781.94444444444,1,0,0
"44",5,0.2,1.797,0.857,3.714,179.7,25.4788126386914,27.920637762755,46.6005495985536,23.2939157855685,4578.54263117284,5017.33860596708,8374.11876286008,4185.91666666667,1,0,0
"45",6,0.2,2.845,1.221,6.379,284.5,28.5361797278494,29.3003877672667,42.1634325048839,20.9760788908416,8118.54313257316,8335.96031978738,11995.4965476395,5967.69444444444,1,0,0
"46",7,0.2,1.147,0.55,4.335,114.7,27.710616530509,25.3752414068414,46.9141420626496,22.2391746585295,3178.40771604938,2910.54018936471,5381.05209458591,2550.83333333333,1,0,0
"47",8,0.2,0.386,0.228,0.991,38.6,19.3865990612806,23.1012221742468,57.5121787644726,26.8206678180771,748.322723765432,891.707175925926,2219.97010030864,1035.27777777778,1,0,0
"48",9,0.2,1.028,0.545,1.903,102.8,25.1245594045732,23.106825626291,51.7686149691358,24.6549394725465,2582.80470679012,2375.38167438272,5321.81361882716,2534.52777777778,1,0,0
"49",10,0.2,2.305,1.069,4.802,230.5,28.5271287295169,26.0578951513677,45.4149761191154,22.3385153048927,6575.50317215364,6006.34483239026,10468.1519954561,5149.02777777778,1,0,0
"50",11,0.2,4.696,1.597,7.945,469.6,33.5642391364969,33.0010494192905,33.4347114442126,16.6356710202536,15761.7666984989,15497.2928072988,15700.9404942022,7812.11111111111,1,0,0
"51",12,0.2,1.522,0.745,3.32,152.2,27.6212369050226,24.4572271085465,47.9215359864308,23.2962841290699,4203.95225694444,3722.38996592078,7293.65777713477,3545.69444444444,1,0,0
"52",13,0.2,2.207,0.995,5.17,220.7,28.0288369427803,27.7092720261103,44.2618910311094,22.2025877259226,6185.9643132716,6115.43633616255,9768.59935056584,4900.11111111111,1,0,0
"53",1,0.3,4.068,2.14,5.909,406.8,24.3062263762901,24.4195689277018,51.2742046960081,24.7465311919589,9887.77288987483,9933.8806397891,20858.3464703361,10066.8888888889,1,0,0
"54",2,0.3,3.055,1.7,5.913,305.5,23.3163433054046,22.5801708012568,54.1034858933386,25.7754137115839,7123.1428798011,6898.24217978395,16528.614940415,7874.38888888889,1,0,0
"55",3,0.3,2.176,1.256,4.462,217.6,22.6833826821919,21.3015035986692,56.015113719139,26.5436070261438,4935.90407164495,4635.20718307042,12188.8887452846,5775.88888888889,1,0,0
"56",4,0.3,5.543,2.769,10.803,554.3,26.24532965799,24.9552093832241,48.7994609587859,23.7314731292722,14547.7862294239,13832.6725611211,27049.541209455,13154.3555555556,1,0,0
"57",5,0.3,3.5,1.881,6.366,350,22.8371589276529,24.9500979325887,52.2127431397585,25.394126984127,7993.0056246785,8732.53427640604,18274.4600989155,8887.94444444445,1,0,0
"58",6,0.3,5.395,2.657,10.598,539.5,25.3324422420742,26.591521134713,48.0760366232128,22.8599114406343,13666.8525895991,14346.1256521776,25937.0217582233,12332.9222222222,1,0,0
"59",7,0.3,2.462,1.354,7.484,246.2,23.5632452614445,23.0984760232535,53.338278715302,26.0172398230887,5801.27098336763,5686.84479692501,13131.8842197074,6405.44444444445,1,0,0
"60",8,0.3,0.87,0.551,1.888,87,19.2909482758621,19.1899256775933,61.5191260465446,28.8639846743295,1678.3125,1669.52353395062,5352.16396604938,2511.16666666667,1,0,0
"61",9,0.3,2.183,1.238,3.508,218.3,22.052481170652,22.8301835877107,55.1173352416374,26.4418486282893,4814.05663955333,4983.82907719724,12032.1142832494,5772.25555555555,1,0,0
"62",10,0.3,4.378,2.337,8.127,437.8,23.6587782696771,24.3603456906935,51.9808760396294,25.378026496117,10357.8131264646,10664.9593433856,22757.2275301498,11110.5,1,0,0
"63",11,0.3,8.138,3.391,12.598,813.8,29.8850134575477,29.3066096016968,40.8083769407555,20.0340310204527,24320.4239517523,23849.7188938609,33209.8571543868,16303.6944444444,1,0,0
"64",12,0.3,3.16,1.758,5.848,316,23.6015825572518,22.3279136456326,54.0705037971157,26.6339662447257,7458.10008809156,7055.62071201989,17086.2791998885,8416.33333333333,1,0,0
"65",13,0.3,4.447,2.305,8.772,444.7,23.8529260220127,25.6007522789076,50.5463216990797,24.3027759038553,10607.396201989,11384.6545384302,22477.9492595808,10807.4444444444,1,0,0
"66",1,0.4,6.431,3.693,8.792,643.1,22.2495618931083,21.9984579205979,55.7519801862938,26.5493961540455,14308.6932534579,14147.2082887365,35854.0984578055,17073.9166666667,1,0,0
"67",2,0.4,5.134,3.096,8.929,513.4,19.8340855397701,21.7982319737249,58.367682486505,28.1862204042765,10182.819516118,11191.2122953104,29965.9681885717,14470.8055555556,1,0,0
"68",3,0.4,3.777,2.353,6.889,377.7,19.331613870757,20.4485837673143,60.2198023619287,29.0070602771159,7301.55055898491,7723.43008891461,22745.0193521005,10955.9666666667,1,0,0
"69",4,0.4,8.705,4.891,15.391,870.5,22.7388528606501,22.6576061506682,54.6035409886817,26.3284191716127,19794.1714151959,19723.4461541567,47532.3824306474,22918.8888888889,1,0,0
"70",5,0.4,5.705,3.341,9.429,570.5,21.1362841372162,22.1124868879495,56.7512289748343,27.2600934852469,12058.2501002818,12615.1737695752,32376.576130143,15551.8833333333,1,0,0
"71",6,0.4,8.3,4.547,15.045,830,23.8862411157978,22.8871126858629,53.2266461983393,26.0517517689807,19825.5801261122,18996.3035292662,44178.1163446216,21622.953968254,1,0,0
"72",7,0.4,4.202,2.553,11.209,420.2,20.3132653066672,20.9344645447755,58.7522701485572,28.2973980644138,8535.63408186157,8796.66200171468,24687.7039164238,11890.5666666667,1,0,0
"73",8,0.4,1.552,1.041,3.085,155.2,16.3808372510182,18.8480384894309,64.7711242595509,30.7084049255441,2542.30594135802,2925.21557355967,10052.4784850823,4765.94444444444,1,0,0
"74",9,0.4,3.66,2.299,5.498,366,19.882126177084,19.357948007554,60.759925815362,29.2821645415908,7276.85818081276,7085.00897076475,22238.1328484225,10717.2722222222,1,0,0
"75",10,0.4,7.084,4.146,12.001,708.4,21.0303526451767,22.1306244407166,56.8390229141067,27.2984424995295,14897.9018138432,15677.3343538036,40264.7638323532,19338.2166666667,1,0,0
"76",11,0.4,11.813,5.686,17.35,1181.3,26.2037385912817,26.8487664844824,46.9474949242359,22.8149355230114,30954.4763978811,31716.447848119,55459.0757539999,26951.2833333333,1,0,0
"77",12,0.4,4.977,2.969,8.765,497.7,21.5085989636691,20.6472302190725,57.8441708172584,27.1708430207526,10704.8297042181,10276.1264800324,28789.0438157495,13522.9285714286,1,0,0
"78",13,0.4,7.118,4.032,12.842,711.8,22.7966900605689,22.2964222986423,54.9068876407889,26.3645374793169,16226.6839851129,15870.5933921736,39082.7226227135,18766.2777777778,1,0,0
"79",1,0.5,9.225,5.581,12.065,922.5,20.8559758563327,20.6710124694505,58.4730116742169,27.84849744053,19239.6377274669,19069.009003068,53941.3532694651,25690.2388888889,1,0,0
"80",2,0.5,7.228,4.665,11.948,722.8,19.0420096057532,18.8330007633342,62.1249896309126,29.7412762098014,13763.5645430384,13612.4929517379,44903.9425052236,21496.9944444444,1,0,0
"81",3,0.5,5.606,3.737,9.683,560.6,17.9109613727417,17.9631588507481,64.1258797765102,30.3861721285018,10040.884945559,10070.1468517294,35948.9682027116,17034.4880952381,1,0,0
"82",4,0.5,12.367,7.299,20.316,1236.7,21.5129763078053,21.2891445193321,57.1978791728627,27.1646259053472,26605.0977998628,26328.285027058,70736.6171730793,33594.4928571429,1,0,0
"83",5,0.5,8.318,5.145,12.911,831.8,20.8675417871163,19.4163808961311,59.7160773167525,28.3039860009083,17357.6212585234,16150.5456294019,49671.8331120747,23543.2555555556,1,0,0
"84",6,0.5,11.823,6.963,19.832,1182.3,21.9573951951545,21.0112029007471,57.0314019040984,27.188685894725,25960.2283392311,24841.5451895533,67428.2264712156,32145.1833333333,1,0,0
"85",7,0.5,6.252,4.095,15.018,625.2,18.7694667392743,18.0301798083207,63.200353452405,29.4359709654815,11734.6706053943,11272.4684161621,39512.8609784436,18403.369047619,1,0,0
"86",8,0.5,2.564,1.856,4.63,256.4,15.8283194769792,14.7922512261216,69.3794292968992,32.8105824232969,4058.38111389746,3792.73321437757,17788.885671725,8412.63333333333,1,0,0
"87",9,0.5,5.463,3.56,7.693,546.3,18.0525153531602,19.1889246646193,62.7585599822205,29.9361767038868,9862.08913743141,10482.9095442815,34285.001318287,16354.1333333333,1,0,0
"88",10,0.5,10.183,6.238,16.182,1018.3,20.4790318472642,20.2669102956149,59.2540578571209,28.1968274232342,20853.7981300691,20637.7947540247,60338.4071159062,28712.8293650794,1,0,0
"89",11,0.5,16.186,8.45,22.499,1618.6,24.7201595335113,24.625387459452,50.6544530070367,24.1949677683998,40012.0502209414,39858.652141869,81989.2976371897,39161.974829932,1,0,0
"90",12,0.5,7.543,4.812,12.11,754.3,19.2505190317719,19.2448747649488,61.5046062032792,29.1044603532341,14520.6665056656,14516.4090352009,46392.9244591335,21953.4944444444,1,0,0
"91",13,0.5,10.171,6.255,17.1,1017.1,20.2495091161334,20.2836414945644,59.4668493893023,28.2129357822505,20595.7757220192,20630.4917641214,60483.7325138593,28695.376984127,1,0,0
"92",1,0.6,12.443,8.021,15.654,1244.3,18.74863187782,19.1050308833826,62.1463372387975,29.2553753961602,23328.9226455714,23772.3899281929,77328.6874262357,36402.4636054422,1,0,0
"93",2,0.6,10.312,6.998,15.931,1031.2,16.6059889665974,18.2107556413251,65.1832553920774,30.5193448532762,17124.0958223553,18778.9312173345,67216.9729603102,31471.5484126984,1,0,0
"94",3,0.6,7.827,5.436,12.704,782.7,16.830857591563,16.6874282959203,66.4817141125166,31.3700154735034,13173.5122369164,13061.2501272168,52035.2376358668,24553.3111111111,1,0,0
"95",4,0.6,16.303,10.259,25.539,1630.3,19.8332003015116,19.343956150688,60.8228435478004,28.8981755371596,32334.0664515544,31536.4517124667,99159.4818359789,47112.6955782313,1,0,0
"96",5,0.6,11.373,7.526,16.751,1137.3,18.1961180181261,17.9356656866793,63.8682162951946,30.1059833998373,20694.4450220148,20398.2325854604,72637.3223925248,34239.5349206349,1,0,0
"97",6,0.6,15.731,9.835,24.732,1573.1,19.6693867908252,20.0684952183522,60.2621179908226,28.4147235314358,30941.9123606472,31569.7498279898,94798.337811363,44699.2015873016,1,0,0
"98",7,0.6,8.612,5.906,19.354,861.2,16.7938402396333,17.48843015712,65.7177296032467,30.8971654538886,14462.8552143722,15061.0360513117,56596.108734316,26608.6388888889,1,0,0
"99",8,0.6,3.64,2.698,6.137,364,14.9684612652437,14.3610200214451,70.6705187133112,33.2216771323914,5448.5199005487,5227.41128780602,25724.0688116453,12092.6904761905,1,0,0
"100",9,0.6,7.472,5.217,10.171,747.2,16.3362031088151,16.7408064337164,66.9229904574685,31.3093421790558,12206.4109629066,12508.7305672729,50004.8584698205,23394.3404761905,1,0,0
"101",10,0.6,13.784,8.935,20.41,1378.4,18.6038718312324,18.9630936659287,62.433034502839,29.380445121558,25643.5769321707,26138.7283091161,86057.6947587132,40498.0055555556,1,0,0
"102",11,0.6,20.448,11.697,27.335,2044.8,22.3816141759106,22.2718723544967,55.3465134695928,26.4888841148744,45765.9246669019,45541.5245904748,113172.550742623,54164.4702380952,1,0,0
"103",12,0.6,10.263,6.872,15.702,1026.3,17.1726712364556,18.4759828226959,64.3513459408485,30.3111578191964,17624.3124899744,18961.9011709328,66043.7863390928,31108.3412698413,1,0,0
"104",13,0.6,13.659,8.85,21.657,1365.9,18.9961184502621,18.5862350469704,62.4176465027676,29.5160909081401,25946.798191213,25386.9384506568,85256.2633581302,40316.0285714286,1,0,0
"105",1,0.7,15.869,10.73,19.5,1586.9,17.5567684596172,17.4711169403932,64.9721145999896,30.3721084291469,27860.8358685665,27724.9154727099,103104.248658724,48197.4988662132,1,0,0
"106",2,0.7,13.374,9.469,19.665,1337.4,15.8560256868833,16.2508580027536,67.8931163103631,32.0961335783005,21205.8487536377,21733.8974928827,90800.2537534796,42925.369047619,1,0,0
"107",3,0.7,10.455,7.581,16.033,1045.5,15.4218880134577,15.1127160752287,69.4653959113136,32.2472015364411,16123.58391807,15800.3446566516,72626.0714252783,33714.4492063492,1,0,0
"108",4,0.7,20.47,13.522,30.404,2047,18.2168027872517,18.1896207396763,63.593576473072,30.1705045379168,37289.7953055043,37234.1536541173,130176.051040378,61759.0227891156,1,0,0
"109",5,0.7,14.763,10.195,20.769,1476.3,16.9796970096555,16.7582453147715,66.262057675573,30.9086546266997,25067.1266953543,24740.1975581972,97822.6757464485,45630.4468253968,1,0,0
"110",6,0.7,19.703,12.926,29.742,1970.3,18.5326629452453,18.317927598805,63.1494094559497,29.8113167038458,36514.9058010169,36091.8127479254,124423.281451058,58737.2373015873,1,0,0
"111",7,0.7,11.345,7.978,23.553,1134.5,16.3055647877545,16.3718788076844,67.3225564045611,31.7226384604084,18498.6632517075,18573.896507318,76377.4402409745,35989.3333333333,1,0,0
"112",8,0.7,5.018,3.801,8.138,501.8,13.5959626235877,14.0899223980309,72.3141149783814,34.2504207076746,6822.4540445163,7070.32305933193,36287.2228961518,17186.8611111111,1,0,0
"113",9,0.7,9.79,7.045,12.896,979,15.2324168915362,15.838939753543,68.9286433549209,32.4596048770206,14912.5361368139,15506.3220187186,67481.1418444675,31777.9531746032,1,0,0
"114",10,0.7,17.439,11.889,24.979,1743.9,17.1252252693965,17.2709101711368,65.6038645594667,30.6307478130117,29864.6803473005,30118.7402474455,114406.579405254,53416.9611111111,1,0,0
"115",11,0.7,25.042,15.105,32.265,2504.2,21.163313471872,20.6337154954896,58.2029710326384,27.634194764436,52997.169596262,51670.9503438051,145751.880059933,69201.5505291005,1,0,0
"116",12,0.7,13.288,9.35,19.438,1328.8,16.503543627583,16.1760039672107,67.3204524052063,31.6212971040313,21929.9087723323,21494.6740716296,89455.4171560381,42018.3795918367,1,0,0
"117",13,0.7,17.328,11.681,26.198,1732.8,17.6329487548484,17.5561351946106,64.810916050541,30.2846521457152,30554.3736024013,30421.2710652212,112304.355332377,52477.2452380952,1,0,0
"118",1,0.8,19.439,13.713,23.154,1943.9,16.3673629220866,16.1458471821679,67.4867898957455,31.7720246217046,31816.5167842442,31385.9123374161,131187.57087834,61761.6386621315,1,0,0
"119",2,0.8,16.449,11.966,23.404,1644.9,15.265904007931,15.2553143729247,69.4787816191443,32.3872831561141,25110.8855026456,25093.4666120238,114285.647885331,53273.8420634921,1,0,0
"120",3,0.8,13.159,9.834,19.501,1315.9,14.3768144217631,14.3074499287619,71.3157356494749,33.477040277823,18918.4500975981,18827.1733612578,93844.3765411441,44052.4373015873,1,0,0
"121",4,0.8,24.546,16.905,35.118,2454.6,16.9279264354996,16.946297213763,66.1257763507374,31.1041614381825,41551.2882285773,41596.3811409026,162312.33063052,76348.2746661628,1,0,0
"122",5,0.8,18.301,12.968,24.493,1830.1,16.0000328178544,16.2540413663268,67.7459258158188,31.7737328373359,29281.6600599553,29746.5211045147,123981.81883553,58149.1084656085,1,0,0
"123",6,0.8,23.878,16.312,34.719,2387.8,17.1361565193511,17.2973691474001,65.5664743332488,31.1248998356916,40917.7145369067,41302.6580501618,156559.627412931,74320.0358276644,1,0,0
"124",7,0.8,13.95,10.298,27.753,1395,14.5387994844857,14.991821244358,70.4693792711563,32.6488809239347,20281.6252808575,20913.5906358795,98304.784083263,45545.1888888889,1,0,0
"125",8,0.8,6.501,5.057,10.109,650.1,12.4487471674013,13.7801863459808,73.7710664866179,34.274907645466,8092.93053352761,8958.4991435221,47958.5703229503,22282.1174603175,1,0,0
"126",9,0.8,12.547,9.296,15.929,1254.7,14.4227135137592,14.7942021686261,70.7830843176147,33.0208127192324,18096.1786457137,18562.2854609751,88811.5358933112,41431.2137188209,1,0,0
"127",10,0.8,21.389,14.969,29.545,2138.9,16.4728515128707,16.4441253496351,67.0830231374943,31.3543877694142,35233.7821008791,35172.3397103344,143483.878188786,67063.9,1,0,0
"128",11,0.8,29.449,18.63,37.047,2944.9,19.4223454132586,19.6989678332898,60.8786867534515,28.8423838006118,57196.8650075053,58011.4903722552,179281.644620239,84937.9360544218,1,0,0
"129",12,0.8,16.661,12.196,23.23,1666.1,15.1015520300208,14.9019754389983,69.9964725309809,32.6678804126736,25160.6958372177,24828.181278915,116621.122883867,54427.9555555556,1,0,0
"130",13,0.8,21.135,14.792,30.565,2113.5,16.2868840454779,16.6263772932099,67.0867386613122,31.4311351762533,34422.3294301175,35139.8484091992,141787.822160683,66429.7041950113,1,0,0
"131",1,0.9,23.227,16.844,27.142,2322.7,15.4177803879997,15.3518193484054,69.230400263595,32.3209456857182,35810.8785072068,35657.6708005411,160801.450692252,75071.8605442177,1,0,0
"132",2,0.9,19.996,14.875,27.377,1999.6,14.2832626586912,14.7469240102845,70.9698133310244,32.964939189652,28560.8120123189,29487.9492509648,141911.238736716,65916.6924036281,1,0,0
"133",3,0.9,16.195,12.421,23.03,1619.5,13.1869447534002,13.6746797767073,73.1383754698925,34.0515223687499,21356.2570281316,22146.1438983775,118447.599073491,55146.4404761905,1,0,0
"134",4,0.9,28.996,20.653,39.782,2899.6,16.0007846771951,15.7493895435234,68.2498257792815,32.1006131426682,46395.8752499948,45666.9299204004,197897.194829605,93078.9378684807,1,0,0
"135",5,0.9,21.532,15.911,28.304,2153.2,14.7211450949796,14.6998747811291,70.5789801238913,33.0039697283335,31697.5696185101,31651.7703787271,151970.660002763,71064.1476190476,1,0,0
"136",6,0.9,28.102,19.855,39.39,2810.2,16.1642671368324,16.2556454271586,67.580087436009,31.6582552125066,45424.8235079265,45681.614779401,189913.561712672,88966.0287981859,1,0,0
"137",7,0.9,16.998,12.749,31.996,1699.8,14.2301584663381,14.2081367745801,71.5617047590818,33.3092207860122,24188.4233610815,24150.9908894312,121640.585749487,56619.0134920635,1,0,0
"138",8,0.9,8.204,6.553,12.34,820.4,12.4157888072944,11.9748030805325,75.6094081121731,35.0758089356334,10185.9131375043,9824.12844726885,62029.9584152268,28776.1936507937,1,0,0
"139",9,0.9,15.302,11.569,19.033,1530.2,14.0095743994071,13.905773097268,72.0846525033249,33.7257449487877,21437.4507459728,21278.6139934395,110303.935260588,51607.1349206349,1,0,0
"140",10,0.9,25.509,18.518,33.94,2550.9,15.0117108565292,15.5985318131518,69.389757330319,32.3189723888301,38293.3732239204,39790.294802169,177006.331973911,82442.4666666666,1,0,0
"141",11,0.9,34.19,22.576,41.828,3419,18.4243992586745,18.2544510419728,63.3211496993527,29.7008487649715,62993.0210654082,62411.9681125049,216495.010822087,101547.201927438,1,0,0
"142",12,0.9,19.924,14.847,27.076,1992.4,14.4611401262492,14.4380048657162,71.1008550080347,33.1624714447781,28812.3755875388,28766.2808944529,141661.343518008,66072.908106576,1,0,0
"143",13,0.9,25.212,18.119,35.139,2521.2,15.6048863051011,15.6644488759968,68.7306648189022,32.2770737254656,39343.0393524208,39493.2085061631,173283.752141416,81376.958276644,1,0,0
"144",1,1,26.937,20.053,30.941,2693.7,14.6823221853292,14.3661645259867,70.9515132886842,33.2040351859891,39549.7712706212,38698.1373836503,191122.091345729,89441.7095804989,1,0,0
"145",2,1,23.671,18.159,31.288,2367.1,13.4835183001671,13.5633393407884,72.9531423590445,33.8797460609956,31916.8361683255,32105.7805535803,172687.383278094,80196.7469009826,1,0,0
"146",3,1,19.126,14.952,26.416,1912.6,12.8772124570674,12.8325398324275,74.2902477105051,34.4684144981496,24628.9565453872,24543.5156835009,142087.527771112,65924.289569161,1,0,0
"147",4,1,33.455,24.358,44.677,3345.5,15.2331011517041,15.213128307924,69.5537705403719,32.4434762775733,50962.339903026,50895.5207541598,232692.139342814,108539.649886621,1,0,0
"148",5,1,25.309,19.176,32.205,2530.9,13.8427233081903,13.9383235946465,72.2189530971632,33.6158673579142,35034.5484206988,35276.5031856908,182778.94839361,85078.3986961451,1,0,0
"149",6,1,32.301,23.55,43.89,3230.1,15.1704047830242,15.2192710387559,69.6103241782199,32.5332127016794,49001.9244896464,49159.7673822854,224848.308128068,105085.530347695,1,0,0
