"Virus_D","Spread_Frac","Target_Cell_Cost"
-0.632644078973981,"Diffusion Only",198.069498069498
-0.4565528199183,"Diffusion Only",212.060301507538
-0.33161408331,"Diffusion Only",209.883720930233
-0.234704070301943,"Diffusion Only",194.666666666667
0.0663259253620378,"Diffusion Only",158.974358974359
0.367355921026019,"Diffusion Only",150.549450549451
0.5434471800817,"Diffusion Only",158.227848101266
0.66838591669,"Diffusion Only",156
0.765295929698057,"Diffusion Only",158.333333333333
1.06632592536204,"Diffusion Only",172.307692307692
1.36735592102602,"Diffusion Only",201.587301587302
1.5434471800817,"Diffusion Only",212.698412698413
1.66838591669,"Diffusion Only",236.065573770492
1.76529592969806,"Diffusion Only",254.838709677419
2.06632592536204,"Diffusion Only",331.147540983607
2.36735592102602,"Diffusion Only",390.16393442623
2.5434471800817,"Diffusion Only",452.459016393443
2.66838591669,"Diffusion Only",433.333333333333
2.76529592969806,"Diffusion Only",472.131147540984
3.06632592536204,"Diffusion Only",501.639344262295
3.36735592102602,"Diffusion Only",510
3.5434471800817,"Diffusion Only",528.333333333333
3.66838591669,"Diffusion Only",477.41935483871
3.76529592969806,"Diffusion Only",498.360655737705
