"Virus_D","Spread_Frac","Intact_r0","Pp","Sim","Slope","Cost"
0.0663259253620378,"Diffusion Only",0.171771141166449,0.575,1,0.0980076049213068,42.9429156400981
0.0663259253620378,"Diffusion Only",0.171771141166449,0.575,2,0.106562800079402,37.9623379365329
0.0663259253620378,"Diffusion Only",0.171771141166449,0.575,3,0.106562800079402,37.9623379365329
0.0663259253620378,"Diffusion Only",0.171771141166449,0.575,4,0.100343331887994,41.58312554333
0.0663259253620378,"Diffusion Only",0.171771141166449,0.575,5,0.104606042091942,39.1015036742537
0.0663259253620378,"Diffusion Only",0.171771141166449,0.575,6,0.100343331887994,41.58312554333
0.0663259253620378,"Diffusion Only",0.171771141166449,0.575,7,0.102537410114856,40.3057990890938
0.0663259253620378,"Diffusion Only",0.171771141166449,0.575,8,0.0867827237631854,49.4777043606575
0.0663259253620378,"Diffusion Only",0.171771141166449,0.575,9,0.0955106696398532,44.396556376544
0.0663259253620378,"Diffusion Only",0.171771141166449,0.575,10,0.0980076049213068,42.9429156400981
-0.933674074637962,"Diffusion Only",0.107907036336245,0.575,1,0.0582475003613349,46.0206652513074
-0.933674074637962,"Diffusion Only",0.107907036336245,0.575,2,0.0501716659439969,53.5047318066831
-0.933674074637962,"Diffusion Only",0.107907036336245,0.575,3,0.0795202091199437,26.3067434526196
-0.933674074637962,"Diffusion Only",0.107907036336245,0.575,4,0.0501716659439969,53.5047318066831
-0.933674074637962,"Diffusion Only",0.107907036336245,0.575,5,0.0250858329719984,76.7523659033416
-0.933674074637962,"Diffusion Only",0.107907036336245,0.575,6,0.0582475003613349,46.0206652513074
-0.933674074637962,"Diffusion Only",0.107907036336245,0.575,7,0.0250858329719984,76.7523659033416
-0.933674074637962,"Diffusion Only",0.107907036336245,0.575,8,0.0501716659439969,53.5047318066831
-0.933674074637962,"Diffusion Only",0.107907036336245,0.575,9,0.0795202091199437,26.3067434526196
-0.933674074637962,"Diffusion Only",0.107907036336245,0.575,10,0.0648459375319703,39.9057376296514
1.06632592536204,"Diffusion Only",0.248035985097662,0.575,1,0.0795202091199437,67.9400514854191
1.06632592536204,"Diffusion Only",0.248035985097662,0.575,2,0.0955106696398532,61.4932205896468
1.06632592536204,"Diffusion Only",0.248035985097662,0.575,3,0.113477319668133,54.2496546928655
1.06632592536204,"Diffusion Only",0.248035985097662,0.575,4,0.100343331887994,59.5448491683638
1.06632592536204,"Diffusion Only",0.248035985097662,0.575,5,0.140103436447966,43.5148749110733
1.06632592536204,"Diffusion Only",0.248035985097662,0.575,6,0.127623243086855,48.5464808517182
1.06632592536204,"Diffusion Only",0.248035985097662,0.575,7,0.0867827237631854,65.0120430190742
1.06632592536204,"Diffusion Only",0.248035985097662,0.575,8,0.111868556735184,54.8982553111651
1.06632592536204,"Diffusion Only",0.248035985097662,0.575,9,0.0795202091199437,67.9400514854191
