"WT_MOI","var_MOI","Spread","Neg","His","HA","Both","Expt","var_HA","WT_HA","inv_WT_HA","Both_HA","WT_Alone","WT_Co","Enrichment"
0.002,0.3,1,17.9,5.84,37,39.3,"NTJ53",76.3,45.14,0.0221533008418254,39.3,0.245998315080034,0.515072083879423,109.380329987971
0.01,0.3,1,6.76,53.2,3.47,36.6,"NTJ53",40.07,89.8,0.0111358574610245,36.6,0.887258172114743,0.913401547292239,2.94653529256133
0.01,0.3,1,8.81,44.8,4.87,41.5,"NTJ53",46.37,86.3,0.0115874855156431,41.5,0.835664987875396,0.894975199482424,7.09736706306418
0.01,0.3,1,6.04,49.2,3.46,41.3,"NTJ53",44.76,90.5,0.0110497237569061,41.3,0.890658942795076,0.922698838248436,3.59732484724311
0,0.3,0,35.4,0.6,63.6,0.41,"NTJ53",64.01,1.01,0.99009900990099,0.41,0.0166666666666667,0.00640524917981565,-61.5685049211061
0,0.3,0,30.9,0.08,68.9,0.16,"NTJ53",69.06,0.24,4.16666666666667,0.16,0.0025823111684958,0.00231682594845062,-10.2809151462497
0,0.3,0,30,0.037,69.7,0.17,"NTJ53",69.87,0.207,4.83091787439613,0.17,0.00123181409594833,0.0024330900243309,97.5208785427764
0.2,0.3,0,40.7,9.37,11.4,38.5,"NTJ54",49.9,47.87,0.0208899101733863,38.5,0.187138006790493,0.771543086172345,312.285617125393
0.2,0.3,0,46.4,7.57,10.8,35.2,"NTJ54",46,42.77,0.0233808744447042,35.2,0.140263109134704,0.765217391304348,445.558554936534
0.2,0.3,0,44.5,7.39,11.3,36.8,"NTJ54",48.1,44.19,0.0226295541977823,36.8,0.142416650607053,0.765072765072765,437.207385380592
0.6,0.3,0,35.2,23.5,3.74,37.5,"NTJ54",41.24,61,0.0163934426229508,37.5,0.400340715502555,0.909311348205626,127.134366551788
0.6,0.3,0,41.6,22,3.19,33.2,"NTJ54",36.39,55.2,0.0181159420289855,33.2,0.345911949685535,0.912338554547953,163.748782132954
0.6,0.3,0,37.5,22.3,3.38,36.8,"NTJ54",40.18,59.1,0.0169204737732657,36.8,0.372909698996656,0.915878546540567,145.603305305497
1.2,0.3,0,30.3,35.6,1.31,32.8,"NTJ54",34.11,68.4,0.0146198830409357,32.8,0.540212443095599,0.961594840222809,78.0030898052896
1.2,0.3,0,34.5,33.1,1.26,31.1,"NTJ54",32.36,64.2,0.0155763239875389,31.1,0.489644970414201,0.9610630407911,96.277527363983
1.2,0.3,0,34,34.4,1.14,30.4,"NTJ54",31.54,64.8,0.0154320987654321,30.4,0.502923976608187,0.963855421686747,91.650322219109
2,0.3,0,24.2,47.3,0.62,27.8,"NTJ54",28.42,75.1,0.0133155792276964,27.8,0.661538461538462,0.978184377199156,47.865080274291
2,0.3,0,24.9,47.5,0.55,27.1,"NTJ54",27.65,74.6,0.0134048257372654,27.1,0.656077348066298,0.980108499095841,49.389169125345
2,0.3,0,24.2,47.7,0.56,27.6,"NTJ54",28.16,75.3,0.0132802124833997,27.6,0.663421418636996,0.980113636363636,47.7362064036593
0.002,0.3,1,20,8.41,31.2,40.3,"NTJ54",71.5,48.71,0.0205296653664545,40.3,0.296022527279127,0.563636363636364,90.4031996540914
0.002,0.3,1,22.9,7.68,37.5,31.8,"NTJ54",69.3,39.48,0.0253292806484296,31.8,0.251144538914323,0.458874458874459,82.7132936507936
0.002,0.3,1,18.5,6.47,36.9,38.1,"NTJ54",75,44.57,0.022436616558223,38.1,0.259110933119744,0.508,96.0550231839258
0.01,0.3,1,8.78,38.9,4.42,47.9,"NTJ54",52.32,86.8,0.0115207373271889,47.9,0.815855704697987,0.915519877675841,12.2159068575427
0.01,0.3,1,10.6,28,5.69,55.8,"NTJ54",61.49,83.8,0.0119331742243437,55.8,0.725388601036269,0.907464628394861,25.1004809144344
0.01,0.3,1,6.89,37.1,3.73,52.3,"NTJ54",56.03,89.4,0.0111856823266219,52.3,0.843373493975904,0.933428520435481,10.6779531373499
0,0.3,0,66.9,0.24,32.8,0.058,"NTJ54",32.858,0.298,3.35570469798658,0.058,0.00357462019660411,0.00176517134335626,-50.6193316696086
0,0.3,0,66,0.31,33.6,0.1,"NTJ54",33.7,0.41,2.4390243902439,0.1,0.00467501131051123,0.0029673590504451,-36.5272326983823
0,0.3,0,64,0.39,35.5,0.091,"NTJ54",35.591,0.481,2.07900207900208,0.091,0.0060568411243982,0.00255682616391784,-57.7861444372641
