"PP","Complementation_ID50","No_Complementation_ID50"
0.1,0.407380277804113,50.1187233627273
0.2,0.0489778819368447,0.199526231496888
0.3,0.00630957344480194,0.00776247116628692
0.4,0.000758577575029184,0.000776247116628692
0.5,0.000128824955169313,0.000128824955169313
0.58,3.98107170553497e-05,3.98107170553497e-05
0.6,3.01995172040202e-05,3.01995172040202e-05
0.7,8.70963589956081e-06,8.70963589956081e-06
0.8,3.01995172040202e-06,3.01995172040202e-06
0.9,1.17489755493953e-06,1.17489755493953e-06
1,1e-06,1e-06
