"Virus_D","Spread_Frac","Cost"
-0.933674074637962,"Diffusion Only",49.8579482264238
-0.632644078973981,"Diffusion Only",43.8517944919617
-0.4565528199183,"Diffusion Only",43.3754052530988
-0.33161408331,"Diffusion Only",44.1371506239648
-0.234704070301943,"Diffusion Only",41.0190545281367
0.0663259253620378,"Diffusion Only",41.8258321740471
0.367355921026019,"Diffusion Only",45.1864707154041
0.5434471800817,"Diffusion Only",46.6661442279828
0.66838591669,"Diffusion Only",49.1859818058855
0.765295929698057,"Diffusion Only",49.8874713333537
1.06632592536204,"Diffusion Only",59.2798118391018
1.36735592102602,"Diffusion Only",73.0639144832824
1.5434471800817,"Diffusion Only",76.3088485683541
1.66838591669,"Diffusion Only",80.1543225441232
1.76529592969806,"Diffusion Only",81.8571362841322
2.06632592536204,"Diffusion Only",89.8715661716535
2.36735592102602,"Diffusion Only",91.4733959757716
2.5434471800817,"Diffusion Only",91.4802590816024
2.66838591669,"Diffusion Only",91.4809558069213
2.76529592969806,"Diffusion Only",91.6937124598381
3.06632592536204,"Diffusion Only",92.6813122878318
3.36735592102602,"Diffusion Only",92.2557801939846
3.5434471800817,"Diffusion Only",93.5248779174129
3.66838591669,"Diffusion Only",91.0864537425847
3.76529592969806,"Diffusion Only",92.4628377909962
