"Sim","Spread_Frac","Pp","Virus_D","Max_Productive","Max_Virions","Max_Semi"
3,"Diffusion Only",0.575,-0.234704070301943,253,61013,178
3,"Diffusion Only",0.575,0.0663259253620378,522,119255,323
3,"Diffusion Only",0.575,0.367355921026019,863,205441,578
3,"Diffusion Only",0.575,0.5434471800817,1040,246284,665
3,"Diffusion Only",0.575,0.66838591669,1212,284944,770
3,"Diffusion Only",0.575,0.765295929698057,1321,304051,833
3,"Diffusion Only",0.575,1.06632592536204,1823,397062,1187
3,"Diffusion Only",0.575,1.36735592102602,2315,491002,1591
3,"Diffusion Only",0.575,1.5434471800817,2787,552940,1886
3,"Diffusion Only",0.575,1.66838591669,2940,577789,2019
3,"Diffusion Only",0.575,1.76529592969806,3223,629584,2303
3,"Diffusion Only",0.575,2.06632592536204,3982,697912,3065
3,"Diffusion Only",0.575,2.36735592102602,4952,759240,4707
3,"Diffusion Only",0.575,2.5434471800817,5420,764287,5630
3,"Diffusion Only",0.575,2.66838591669,5667,779524,5862
3,"Diffusion Only",0.575,2.76529592969806,5715,779399,5835
3,"Diffusion Only",0.575,3.06632592536204,5776,779588,6117
3,"Diffusion Only",0.575,3.36735592102602,5627,767447,6052
3,"Diffusion Only",0.575,3.5434471800817,5813,775376,6093
3,"Diffusion Only",0.575,3.66838591669,5676,771816,6134
3,"Diffusion Only",0.575,3.76529592969806,5612,761676,6072
3,"Diffusion Only",1,-0.933674074637962,371,86701,0
3,"Diffusion Only",1,-0.632644078973981,577,136030,0
3,"Diffusion Only",1,-0.4565528199183,747,175531,0
3,"Diffusion Only",1,-0.33161408331,924,214057,0
3,"Diffusion Only",1,-0.234704070301943,917,221100,0
3,"Diffusion Only",1,0.0663259253620378,1311,302459,0
3,"Diffusion Only",1,0.367355921026019,1669,381362,0
3,"Diffusion Only",1,0.5434471800817,2070,458680,0
3,"Diffusion Only",1,0.66838591669,2389,506413,0
3,"Diffusion Only",1,0.765295929698057,2417,512744,0
3,"Diffusion Only",1,1.06632592536204,3236,618999,0
3,"Diffusion Only",1,1.36735592102602,4097,706842,0
3,"Diffusion Only",1,1.5434471800817,4562,747082,0
3,"Diffusion Only",1,1.66838591669,4756,748615,0
3,"Diffusion Only",1,1.76529592969806,5010,771197,0
3,"Diffusion Only",1,2.06632592536204,5769,791429,0
3,"Diffusion Only",1,2.36735592102602,6441,803726,0
3,"Diffusion Only",1,2.5434471800817,6512,803091,0
3,"Diffusion Only",1,2.66838591669,6681,816449,0
3,"Diffusion Only",1,2.76529592969806,6640,811486,0
3,"Diffusion Only",1,3.06632592536204,6582,803529,0
3,"Diffusion Only",1,3.36735592102602,6669,814178,0
3,"Diffusion Only",1,3.5434471800817,6638,806504,0
3,"Diffusion Only",1,3.66838591669,6597,812852,0
3,"Diffusion Only",1,3.76529592969806,6513,797839,0
4,"Diffusion Only",0.575,-0.933674074637962,92,19270,63
4,"Diffusion Only",0.575,-0.632644078973981,144,30286,85
4,"Diffusion Only",0.575,-0.4565528199183,170,39112,122
4,"Diffusion Only",0.575,-0.33161408331,217,50818,151
4,"Diffusion Only",0.575,-0.234704070301943,255,59831,172
4,"Diffusion Only",0.575,0.0663259253620378,509,118016,343
4,"Diffusion Only",0.575,0.367355921026019,885,213438,542
4,"Diffusion Only",0.575,0.5434471800817,1064,248473,673
4,"Diffusion Only",0.575,0.66838591669,1126,269725,757
4,"Diffusion Only",0.575,0.765295929698057,1272,295712,865
4,"Diffusion Only",0.575,1.06632592536204,1734,389845,1130
4,"Diffusion Only",0.575,1.36735592102602,2288,483175,1545
4,"Diffusion Only",0.575,1.5434471800817,2667,541080,1840
4,"Diffusion Only",0.575,1.66838591669,2926,582024,2077
4,"Diffusion Only",0.575,1.76529592969806,3221,614886,2284
4,"Diffusion Only",0.575,2.06632592536204,3975,694789,3044
4,"Diffusion Only",0.575,2.36735592102602,4840,749991,4297
4,"Diffusion Only",0.575,2.5434471800817,5454,778733,5545
4,"Diffusion Only",0.575,2.66838591669,5632,774421,5823
4,"Diffusion Only",0.575,2.76529592969806,5726,784054,5965
4,"Diffusion Only",0.575,3.06632592536204,5687,776249,6037
4,"Diffusion Only",0.575,3.36735592102602,5736,782509,6019
4,"Diffusion Only",0.575,3.5434471800817,5716,774791,6024
4,"Diffusion Only",0.575,3.66838591669,5696,775703,6057
4,"Diffusion Only",0.575,3.76529592969806,5816,791578,6070
4,"Diffusion Only",1,-0.933674074637962,333,80117,0
4,"Diffusion Only",1,-0.632644078973981,590,133995,0
4,"Diffusion Only",1,-0.4565528199183,747,181537,0
4,"Diffusion Only",1,-0.33161408331,860,205991,0
4,"Diffusion Only",1,-0.234704070301943,939,224561,0
4,"Diffusion Only",1,0.0663259253620378,1289,304075,0
4,"Diffusion Only",1,0.367355921026019,1752,390851,0
4,"Diffusion Only",1,0.5434471800817,2087,448360,0
4,"Diffusion Only",1,0.66838591669,2323,489240,0
4,"Diffusion Only",1,0.765295929698057,2609,535719,0
4,"Diffusion Only",1,1.06632592536204,3129,606968,0
4,"Diffusion Only",1,1.36735592102602,4093,697351,0
4,"Diffusion Only",1,1.5434471800817,4502,738695,0
4,"Diffusion Only",1,1.66838591669,4762,753063,0
4,"Diffusion Only",1,1.76529592969806,5074,765049,0
4,"Diffusion Only",1,2.06632592536204,5766,788260,0
4,"Diffusion Only",1,2.36735592102602,6276,802950,0
4,"Diffusion Only",1,2.5434471800817,6529,812286,0
4,"Diffusion Only",1,2.66838591669,6519,810260,0
4,"Diffusion Only",1,2.76529592969806,6614,808714,0
4,"Diffusion Only",1,3.06632592536204,6605,804976,0
4,"Diffusion Only",1,3.36735592102602,6541,801618,0
4,"Diffusion Only",1,3.5434471800817,6651,806310,0
4,"Diffusion Only",1,3.66838591669,6633,800323,0
4,"Diffusion Only",1,3.76529592969806,6623,811033,0
5,"Diffusion Only",0.575,-0.933674074637962,89,19546,66
5,"Diffusion Only",0.575,-0.632644078973981,124,27885,87
5,"Diffusion Only",0.575,-0.4565528199183,179,40495,126
5,"Diffusion Only",0.575,-0.33161408331,206,47518,153
5,"Diffusion Only",0.575,-0.234704070301943,258,60249,187
5,"Diffusion Only",0.575,0.0663259253620378,517,119770,335
5,"Diffusion Only",0.575,0.367355921026019,885,210221,580
5,"Diffusion Only",0.575,0.5434471800817,1022,242362,685
5,"Diffusion Only",0.575,0.66838591669,1205,280812,761
5,"Diffusion Only",0.575,0.765295929698057,1280,298077,848
5,"Diffusion Only",0.575,1.06632592536204,1741,387774,1178
5,"Diffusion Only",0.575,1.36735592102602,2293,480429,1599
5,"Diffusion Only",0.575,1.5434471800817,2616,530397,1872
5,"Diffusion Only",0.575,1.66838591669,2974,582366,2061
5,"Diffusion Only",0.575,1.76529592969806,3203,614241,2378
5,"Diffusion Only",0.575,2.06632592536204,3971,688394,3100
