"Pp","Virus_D","Spread_Frac","r0"
0.58,-0.933674074637962,"Diffusion Only",0.649281624324618
0.58,-0.632644078973981,"Diffusion Only",0.855292360834649
0.58,-0.4565528199183,"Diffusion Only",0.913725483271402
0.58,-0.33161408331,"Diffusion Only",0.996180649676895
0.58,-0.234704070301943,"Diffusion Only",1.07107342649394
0.58,0.0663259253620378,"Diffusion Only",1.19911718326469
0.58,0.367355921026019,"Diffusion Only",1.28208061525677
0.58,0.5434471800817,"Diffusion Only",1.34127649945296
0.58,0.66838591669,"Diffusion Only",1.33717332982179
0.58,0.765295929698057,"Diffusion Only",1.35033598547971
0.58,1.06632592536204,"Diffusion Only",1.21200863806206
0.58,1.36735592102602,"Diffusion Only",0.873954386518965
0.58,1.5434471800817,"Diffusion Only",0.801143298688402
0.58,1.66838591669,"Diffusion Only",0.690655051910145
0.58,1.76529592969806,"Diffusion Only",0.649281624324618
0.58,2.06632592536204,"Diffusion Only",0.378845120702346
0.58,2.36735592102602,"Diffusion Only",0.323754373814287
0.58,2.5434471800817,"Diffusion Only",0.323754373814287
0.58,2.66838591669,"Diffusion Only",0.323754373814287
0.58,2.76529592969806,"Diffusion Only",0.315836249209525
0.58,3.06632592536204,"Diffusion Only",0.277815125038364
0.58,3.36735592102602,"Diffusion Only",0.293651374247889
0.58,3.5434471800817,"Diffusion Only",0.245939248775923
0.58,3.66838591669,"Diffusion Only",0.338021124171161
0.58,3.76529592969806,"Diffusion Only",0.285733249643127
1,-0.933674074637962,"Diffusion Only",1.29488443603494
1,-0.632644078973981,"Diffusion Only",1.52327639520412
1,-0.4565528199183,"Diffusion Only",1.61365478614998
1,-0.33161408331,"Diffusion Only",1.78326143546887
1,-0.234704070301943,"Diffusion Only",1.81596516964092
1,0.0663259253620378,"Diffusion Only",2.06125369399738
1,0.367355921026019,"Diffusion Only",2.33898570661289
1,0.5434471800817,"Diffusion Only",2.51486880151029
1,0.66838591669,"Diffusion Only",2.63150480387845
1,0.765295929698057,"Diffusion Only",2.69460755904434
1,1.06632592536204,"Diffusion Only",2.97643182117194
1,1.36735592102602,"Diffusion Only",3.24454860368094
1,1.5434471800817,"Diffusion Only",3.38161402158893
1,1.66838591669,"Diffusion Only",3.48012837276878
1,1.76529592969806,"Diffusion Only",3.57871631784763
1,2.06632592536204,"Diffusion Only",3.74041166801199
1,2.36735592102602,"Diffusion Only",3.79699084060122
1,2.5434471800817,"Diffusion Only",3.80004951928961
1,2.66838591669,"Diffusion Only",3.80036030423837
1,2.76529592969806,"Diffusion Only",3.80237558214086
1,3.06632592536204,"Diffusion Only",3.79596911310293
1,3.36735592102602,"Diffusion Only",3.79187809235207
1,3.5434471800817,"Diffusion Only",3.7982179430609
1,3.66838591669,"Diffusion Only",3.79221820821266
1,3.76529592969806,"Diffusion Only",3.79099244144959
