WT_MOI,var_MOI,Spread,Neg,His,HA,Both
0.2,0,0,51.9,48,0.052,0
0.2,0,0,59.4,40.5,0.047,0.028
0.2,0,0,59.9,38.5,0.77,0.84
0.6,0,0,12.7,87.2,0.029,0.087
0.6,0,0,14.9,85,0.061,0.031
0.6,0,0,14.9,85,0.079,0.02
1.2,0,0,13.3,86.6,0.13,0.018
1.2,0,0,13.9,86,0.079,0.04
1.2,0,0,13.4,86.4,0.12,0.019
2,0,0,11.7,88.2,0.03,0.075
2,0,0,11.4,88.5,0.049,0.081
2,0,0,12.8,87,0.14,0.062
0.2,0.3,0,21.4,5.32,27.5,45.8
0.2,0.3,0,22.7,4.95,27,45.3
0.2,0.3,0,18.8,4.93,26.4,50
0.6,0.3,0,15.6,24.2,5.23,54.9
0.6,0.3,0,18.3,22.1,4.93,54.7
0.6,0.3,0,13.3,21.6,4.71,60.4
1.2,0.3,0,15.9,33.4,2.02,48.7
1.2,0.3,0,16.5,31.5,1.87,50.2
1.2,0.3,0,15.2,32.4,1.59,50.7
2,0.3,0,10.9,41.6,0.64,46.9
2,0.3,0,14,40.8,0.86,44.4
2,0.3,0,12,40.8,0.61,46.6
0.002,0,0,99.6,0.32,0.055,0
0.002,0,0,99.6,0.32,0.1,8.57E-03
0.002,0,0,99.6,0.33,0.042,0
0.002,0,1,69.7,30.3,0,0
0.002,0,1,78.1,21.9,0,0
0.002,0,1,76.9,23.1,0,0
0.002,0.3,1,18.8,10.9,25.4,44.8
0.002,0.3,1,18.8,5.91,39.3,36
0.002,0.3,1,17.9,5.84,37,39.3
0.01,0,0,98.9,1,0.11,0.016
0.01,0,0,98.6,1.23,0.12,0
0.01,0,0,98.8,1.12,0.04,0.016
0.01,0,1,5.26,94.7,0,0.014
0.01,0,1,7,93,0,0.036
0.01,0,1,9,91,0,0.016
0.01,0.3,1,6.76,53.2,3.47,36.6
0.01,0.3,1,8.81,44.8,4.87,41.5
0.01,0.3,1,6.04,49.2,3.46,41.3
0,0.3,0,35.4,0.6,63.6,0.41
0,0.3,0,30.9,0.08,68.9,0.16
0,0.3,0,30,0.037,69.7,0.17
