"MOI","Time","Titer","se"
1,3,3.1147974245617,0.0665262439960474
1,4.5,2.30548464951664,0.392887452339601
1,6,2.13264666955735,0.21863552252049
1,8,2.15904041823989,0.0873170715491503
1,12,3.42199879016503,0.0907838939478611
1,16,5.22410960140747,0.0298206506238361
1,24,6.08710348670021,0.0268398656066292
1,48,6.25817232190952,0.0217348160127745
3,3,3.57953671193077,0.0504871872623729
3,4.5,2.37677792283167,0.100343331887994
3,6,2.44245297812878,0.269221679542077
3,8,2.45822697427496,0.282135715219281
3,12,4.40196024329585,0.0904606472497717
3,16,5.7817258721809,0.0560650942631329
3,24,6.42229272900165,0.0202057350239776
3,48,6.54553775065196,0.016043310655393
6,3,4.10805126483704,0.0111412518289834
6,4.5,2.65141416981311,0.117496012451392
6,6,2.78341600611139,0.119673980880556
6,8,2.82986898875591,0.219515328049949
6,12,5.03936643735933,0.0294148144228902
6,16,6.0192061882322,0.0826555840485362
6,24,6.54137362726714,0.0163288202302911
6,48,6.57410845505416,0.0283492187221298
10,3,4.18052641464886,0.0125390843808483
10,4.5,3.01705084081579,0.0420577084612229
10,6,3.1033430506065,0.114140893607402
10,8,3.13825483411318,0.135025324987546
10,12,5.27398787938169,0.0201271843785278
10,16,6.10405911881326,0.0810812953400505
10,24,6.44325123754373,0.0710360357465986
10,48,6.54583324539418,0.011333006264426
20,3,4.66663047093519,0.1119987044069
20,4.5,3.34356696571716,0.0486807079057398
20,6,3.49501084594769,0.104555132315604
20,8,3.57130345137632,0.0661944572562716
20,12,5.72818316044023,0.048460163966375
20,16,6.25134746226181,0.0861313447994992
20,24,6.48250293836343,0.0276580783549214
20,48,6.56041374579186,0.084391357913938
